seed,scenario,label,turn,available_budget_mana,used_mana,remaining_mana,violations,planting_trees_amount,house_migration_amount,dam_levee_construction_cost,paddy_dam_construction_cost,capacity_building_cost,agricultural_RnD_cost
350,02_hard_infra,堤防偏重,3,5.449,5.449,0.0,,0.0,0.0,5.449,0.0,0.0,0.0
350,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
350,03_nature_based,自然共生偏重,2,7.518,7.518,0.0,,1.518,0.0,0.0,6.0,0.0,0.0
350,03_nature_based,自然共生偏重,3,5.05,5.05,0.0,,0.0,0.0,0.0,5.05,0.0,0.0
350,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
350,04_agri_rnd,農業R&D偏重,2,7.479,7.479,0.0,,5.479,0.0,0.0,0.0,0.0,2.0
350,04_agri_rnd,農業R&D偏重,3,5.014,5.014,0.0,,3.014,0.0,0.0,0.0,0.0,2.0
350,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
350,05_relocation_capacity,移転・防災偏重,2,5.604,5.604,0.0,,0.0,4.604,0.0,0.0,1.0,0.0
350,05_relocation_capacity,移転・防災偏重,3,2.162,2.162,0.0,,0.0,1.162,0.0,0.0,1.0,0.0
350,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
350,06_balanced,バランス型,2,7.632,7.632,0.0,,2.632,0.0,0.0,2.0,1.0,2.0
