seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
28,06_balanced,バランス型,310993794.5,132172813.8,198557063.7,310993794.5
28,07_late_response,後手対応,372673946.8,192657196.4,252487936.9,372673946.8
28,08_ecosystem_sacrifice,生態系犠牲型,282791634.0,148451130.0,187838094.5,213759731.7
28,09_flood_neglect,洪水軽視型,391875058.8,196620814.5,236566807.2,391875058.8
29,01_no_policy,放置,499501290.7,195577872.0,289571030.6,499501290.7
29,02_hard_infra,堤防偏重,280440426.2,147671896.6,186952771.1,252451530.2
29,03_nature_based,自然共生偏重,426347950.5,183601378.2,255642570.5,426347950.5
29,04_agri_rnd,農業R&D偏重,391769164.1,195577872.0,246454472.5,391769164.1
29,05_relocation_capacity,移転・防災偏重,352736768.3,120464314.8,245291057.6,352736768.3
29,06_balanced,バランス型,311871619.0,132014830.0,223830476.8,311871619.0
29,07_late_response,後手対応,373998804.3,193535662.6,251530270.5,373998804.3
29,08_ecosystem_sacrifice,生態系犠牲型,280440426.2,147671896.6,186952771.1,225301530.7
29,09_flood_neglect,洪水軽視型,391769164.1,195577872.0,246454472.5,391769164.1
30,01_no_policy,放置,497917092.2,194526165.0,288302045.4,497917092.2
30,02_hard_infra,堤防偏重,278077436.0,146885954.9,186060794.2,252573288.0
30,03_nature_based,自然共生偏重,425137902.2,182616112.5,255349094.3,425137902.2
30,04_agri_rnd,農業R&D偏重,391674145.1,194526165.0,247115171.4,391674145.1
30,05_relocation_capacity,移転・防災偏重,352153533.4,121443379.1,244382705.9,352153533.4
30,06_balanced,バランス型,312029357.5,131937840.9,223051385.2,312029357.5
30,07_late_response,後手対応,373002060.9,194526165.0,250599707.4,373002060.9
30,08_ecosystem_sacrifice,生態系犠牲型,278077436.0,146885954.9,186060794.2,227721467.7
30,09_flood_neglect,洪水軽視型,391674145.1,194526165.0,247115171.4,391674145.1
31,01_no_policy,放置,496317223.6,193465673.7,287023246.1,496317223.6
31,02_hard_infra,堤防偏重,252679528.1,146093288.9,185162146.9,252679528.1
31,03_nature_based,自然共生偏重,422959028.6,181622577.5,255057266.2,422959028.6
31,04_agri_rnd,農業R&D偏重,390697843.2,193465673.7,247789127.8,390697843.2
31,05_relocation_capacity,移転・防災偏重,346967927.2,121289898.8,242103081.8,346967927.2
31,06_balanced,バランス型,310481704.2,131756780.7,222186723.5,310481704.2
31,07_late_response,後手対応,371838361.6,193465673.7,249699027.3,371838361.6
31,08_ecosystem_sacrifice,生態系犠牲型,236565220.2,146093288.9,185162146.9,228972917.9
31,09_flood_neglect,洪水軽視型,390697843.2,193465673.7,247789127.8,390697843.2
32,01_no_policy,放置,585963703.5,283903461.0,285734602.9,585963703.5
